ID,PPDE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
ENSG00000156482_RPL30,0.999970938,1285.581946,1299.259785,1096.26474,1115.021679,942.4426711,1099.216558,674.9766806,551.8987761,509.2984286,148.2114218,495.9019847,78.96035441,566.0846023,86.20705327,459.0207757,126.4434882
ENSG00000258377_RP11-649E7.5,0.999970835,7.562578313,11.48615486,15.27879025,8.241931989,0,0,3.493700085,2.625637834,1.40077239,0,0,13.16005907,11.85962475,0,7.683022076,3.287530693
ENSG00000170476_MZB1,0.999969778,7.712890429,10.13484253,13.27085256,38.9963534,5.189805177,9.055807531,0,3.088985687,7.284016428,2.38110153,0,0,0.435855375,0,0,0
ENSG00000155545_MIER3,0.999968725,5.166978972,0,4.615948715,6.323732984,0.518980518,0,0.441123748,4.118647583,0.560308956,235.6804576,19.23049366,13.16005907,0.87171075,9.170963114,11.25859728,6.322174409
ENSG00000165029_ABCA1,0.999967696,4.22752825,36.48543309,0.576993589,1.053955497,0,0.754650628,1.323371244,0,0,4.859390878,0,13.16005907,0,0,1.941137462,0
ENSG00000188822_CNR2,0.999967583,1.41857059,0.216209974,0,4.215821989,0,0.83011569,0,0,27.54478828,0,0,0,2.27952361,1.852534549,0,0
ENSG00000075426_FOSL2,0.999967553,30.53214847,3.378280842,15.57882691,20.02515445,5.189805177,22.63951883,22.49731115,4.118647583,3.922162692,0,5.244680089,19.7400886,0,1.834192623,0,0
ENSG00000111728_ST8SIA1,0.99996715,0.469725361,0,1.759830448,1.053955497,23.36969271,52.09353282,5.739019962,18.60599046,16.38343387,12.12418024,6.975424518,6.580029535,20.32393613,20.17611885,30.64667826,0
ENSG00000134460_IL2RA,0.999967106,1.409176083,0.675656168,0,0,4.151844142,2.263951883,54.25822101,9.266957061,7.284016428,2.59977412,0,19.7400886,4.358553748,5.502577869,2.717592447,6.322174409
ENSG00000127399_LRRC61,0.999966649,0,0.675656168,0,3.161866492,1.556941553,0,12.35146495,20.59323791,15.68865077,2.429695439,4.661937857,6.580029535,15.69079349,80.70447541,12.03505227,75.86609291
ENSG00000177542_SLC25A22,0.999966367,4.22752825,0,0,5.269777487,0.518980518,0.754650628,2.646742488,2.059323791,7.284016428,201.6647214,0,39.48017721,1.307566125,20.17611885,1.941137462,18.96652323
ENSG00000101236_RNF24,0.999966335,0,0,2.307974358,1.053955497,0,0,7.940227465,5.261572287,30.58726591,0,7.575649017,32.90014767,5.225905944,2.659579303,0.776454985,0
ENSG00000229944_EIF4EP2,0.99996462,2.644553783,0,0,0,0,0,0.66609686,0,0,0,24.78402713,0,5.408965202,2.219373074,9.965799732,0
